Prompt,Code
/* shark */,"// Add a smoke source that creates a smoke puff every 0.2 seconds
fire.addComponent(new SmokeSource(0.2))
engine.addEntity(fire)"
/* create fire */ ,"//creates entity
const myEntity = new Entity()

// creates text shape
const myText = new TextShape(""Hello World!"")

// adds text shape to entity 
myEntity.addComponent(myText)"
/* song list */ ,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* nft frame */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a movement component to the player
const playerMovement = new MoveTransformComponent(new Vector3(0, 0, 10), new Vector3(0, 0, 10),
5);
player.addComponentOrReplace(playerMovement);"
/* clickable plane */,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* create cone */,
/* on door hover */,"import * as THREE from 'three';

// Create a new mesh and material for the water surface
const waterMesh = new THREE.Mesh(
  new THREE.PlaneGeometry(1000, 1000),
  new THREE.MeshBasicMaterial({ color: 0x0077be, transparent: true, opacity: 0.6 })
);

// Rotate the mesh to make it flat
waterMesh.rotation.x = -Math.PI / 2;"
/* create a sign */,"class MyBox extends Entity {
  constructor(position: Vector3) {
    super()
    this.addComponentOrReplace(
      new Transform({
        position,
        rotation: Quaternion.Euler(0, 0, 0),
        scale: new Vector3(1, 1, 1)
      })
    )

    this.addComponentOrReplace(new BoxShape())
  }
}

const myBox = new MyBox(new Vector3(5, 0, 5))

engine.addEntity(myBox)"
/* add a door */,"// create new entity
const phone = new Entity()

// add its position
phone.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5),
  scale: new Vector3(0.5, 0.1, 0.2)
}))
phone.addComponentOrReplace(new BoxShape())

// add the enitities details
const material = new Material()
material.metallic = 0.9
material.roughness = 0.1

// add the details to the entity
phone.addComponent(material)

// add entity to the scene
engine.addEntity(phone)"
/* function the add sound to the door */,"// fixed wall
const wall1 = new Entity()
wall1.addComponent(
  new Transform({
    position: new Vector3(4.5, 1, 4.1),
    scale: new Vector3(4, 3, 0.05),
  })
)
wall1.addComponent(new BoxShape())
engine.addEntity(wall1)"
